CCc1ccc(cc1)OC[C@@H](Cn1c2c(nc1N1CCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00626053
CCc1ccc(cc1)OC[C@H](Cn1c2c(nc1N1CCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00626056
CC(C)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CCCC1)C)O	ZINC00626058
CC(C)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CCCC1)C)O	ZINC00626061
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](CO)O	ZINC00626068
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](CO)O	ZINC00626070
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCOCC1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00626073
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCOCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00626076
CCc1ccc(cc1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC00626077
CCc1ccc(cc1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC00626080
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCC1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00626085
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00626089
CCc1ccc(cc1)OC[C@@H](Cn1c2c(nc1N1CCOCC1)n(c(=O)n(c2=O)C)C)O	ZINC00626095
CCc1ccc(cc1)OC[C@H](Cn1c2c(nc1N1CCOCC1)n(c(=O)n(c2=O)C)C)O	ZINC00626097
CCc1ccc(cc1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NC1CCCCC1)C)O	ZINC00626102
CCc1ccc(cc1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NC1CCCCC1)C)O	ZINC00626111
CCc1ccc(cc1)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccccc1)C)O	ZINC00626133
CCc1ccc(cc1)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccccc1)C)O	ZINC00626136
Cc1ccccc1OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC00626142
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C)O	ZINC00626144
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccccc1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00626162
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccccc1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00626165
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccccc1)C[C@@H](CO)O	ZINC00626178
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccccc1)C[C@H](CO)O	ZINC00626180
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00626181
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00626183
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)C[C@H](COc1cccc2c1cccc2)O	ZINC00626346
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N(CCO)CCO)Cc1ccc(cc1)Cl	ZINC00627168
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccc(c(c1)OC)OC)CCc1ccccc1	ZINC00627183
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCCC1)C[C@H](COc1ccc(cc1)OC)O	ZINC00627947
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)Cc1ccccc1Cl	ZINC00628117
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)C[C@H](COc1ccc(cc1)OC)O	ZINC00628166
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccc(c(c1)OC)OC)C[C@H](COc1ccc(cc1)OC)O	ZINC00628179
CCN(CC)c1nc2c(n1C[C@H](COc1ccc(cc1)OC)O)c(=O)[nH]c(=O)n2C	ZINC00628223
Cc1cccc(c1)Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CC[NH+](CC1)C)C	ZINC00629063
Cc1cccc(c1)Cn1c2c(=O)[nH]c(=O)n(c2nc1NC1CCCCC1)C	ZINC00629083
CC(C)CCn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C	ZINC00629125
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)CCCc1ccccc1	ZINC00629148
Cc1cccc(c1)Cn1c2c(=O)[nH]c(=O)n(c2nc1NCCc1ccccc1)C	ZINC00629156
Cc1cccc(c1)Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccco1)C	ZINC00629159
